,body,face,hats,shirt,tier
438,blue cat skin,sunglasses squad,ninja black,tshirt pink,wild_2
439,blue cat skin,ditto,beanie blue,winter blue,wild_2
440,blue cat skin,happy cute,pirate red,baseball blue,wild_1
441,blue cat skin,sunglasses heart,astro,epaulette red,exotic_1
442,blue cat skin,sunglasses yellow,candle,tshirt yellow,cool_1
443,blue cat skin,sunglasses heart,mohawk green,buttondown blue flannel,cool_2
444,blue cat skin,sunglasses squad,beanie orange,shirt white,cool_2
445,blue cat skin,sunglasses squad,beret red,overalls red,wild_2
446,blue cat skin,derp,visor green,shirt bowtie,wild_2
447,blue cat skin,grin,admiral,mononoke,exotic_1
448,blue cat skin,mononoke,ninja blue,hoodie purple,wild_1
449,blue cat skin,tired,helm biker,hoodie purple,wild_1
450,blue cat skin,rich,bucket hat green,tshirt yellow,cool_2
451,blue cat skin,tired,flower blue,toga,cool_2
452,blue cat skin,glasses funny,headband red,ninja red,wild_1
453,blue cat skin,ninja red,beret black,winter red,wild_1
454,blue cat skin,pixel,deepsea orange,viking navy,classy_2
455,blue cat skin,sunglasses squad,helm biker,baseball red,classy_1
456,blue cat skin,hearts,bucket hat green,tanktop pink,cool_1
457,blue cat skin,happy,astro cheeks,tanktop orange,wild_2
458,blue cat skin,glasses funny,candle,robe red,cool_2
459,blue cat skin,mononoke,beanie black,astro black,classy_2
460,blue cat skin,ditto,headband blue,tshirt green,cool_2
461,blue cat skin,glasses,pirate black,tanktop orange,wild_1
462,blue cat skin,mononoke,candle,gown purple,wild_2
463,blue cat skin,sunglasses pixel,mohawk purple,bandana green,cool_2
464,blue cat skin,glasses funny,flower red,overalls blue,cool_2
465,blue cat skin,beard brown,bucket hat tan,tanktop pink,cool_1
466,blue cat skin,smirk,afro rainbow unicorn,baseball blue,classy_1
467,blue cat skin,angry,beret black,robe blue,cool_2
468,blue cat skin,ninja black,hat white,bandana red,cool_1
469,blue cat skin,sunglasses blue,afro rainbow unicorn,mononoke,exotic_1
470,blue cat skin,sunglasses cowboy,beret green,bandana purple,cool_1
471,blue cat skin,uwu,flower red,buttondown green,cool_1
472,blue cat skin,stunned,headband blue,nurse,wild_1
473,blue cat skin,stunned,halo fire,cowboy black,classy_2
474,blue cat skin,face face,beanie red,labcoat,cool_2
475,blue cat skin,face face,beret green,tanktop pink,cool_1
476,blue cat skin,beard pirate,ninja black,epaulette black,classy_2
477,blue cat skin,face face,mohawk purple,tshirt yellow,cool_1
478,blue cat skin,angry cute,antlers,tshirt yellow,cool_1
479,blue cat skin,sunglasses heart,beret black,overalls yellow,classy_1
480,blue cat skin,sunglasses heart,deepsea orange,nurse,exotic_1
